Detected,Published,Title,Theme,Source,Source Type,Importance Score,Priority,Why flagged,URL,DOI,Decision,Notes
2026-08-16,2026-08-14,Brazil's ENAMED and the Governance of AI-Supported Exam Preparation: A Conceptual Policy Analysis,Education & Research,International Journal For Multidisciplinary Research,article,88,High,"matches Education & Research: education, student, learning; impact signal: standard, policy, governance; recent",https://doi.org/10.36948/ijfmr.2026.v08i04.84125,10.36948/ijfmr.2026.v08i04.84125,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-13,Beyond Visual Evidence: Revealing and Mitigating Relational Privacy Leakage in Document MLLMs,Privacy,arXiv,Preprint / research,87,High,"matches Privacy: privacy, leakage, extraction; impact signal: benchmark, framework; recent",http://arxiv.org/abs/2608.12911v1,10.1145/3767308.3835901,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-14,"Digital Transformation of the Indonesian Public Sector: A Systematic Review of Governance, Audit, and Service Innovation",Governance & Measurement,F1000Research,review,87,High,"matches Governance & Measurement: governance, audit; impact signal: systematic review, framework, guidelines; recent",https://doi.org/10.12688/f1000research.188727.1,10.12688/f1000research.188727.1,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-14,"Performance, interaction, and ethical evaluation in the use of generative artificial intelligence in engineering education",Education & Research,Education and Information Technologies,article,86,High,"matches Education & Research: education, student, learning; impact signal: survey, regulation, evaluation; recent",https://doi.org/10.1007/s10639-026-14112-y,10.1007/s10639-026-14112-y,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-15,Exploring student use of generative AI in higher education: A dual-institutional study,Education & Research,Education and Information Technologies,book-chapter,85,High,"matches Education & Research: education, student, learning; impact signal: survey; recent",https://doi.org/10.1007/s10639-026-14100-2,10.1007/s10639-026-14100-2,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-10,"How Personal and Cognitive Traits Influence AI Attitudes, Ethics, and Well-being: The Role of AI Autonomy and Criticality in Design",Persuasion & Manipulation,SN Computer Science,article,84,High,"matches Persuasion & Manipulation: influence, autonomy; impact signal: survey, framework, evaluation; recent",https://doi.org/10.1007/s42979-026-05214-y,10.1007/s42979-026-05214-y,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-14,Ethics Suppression in AI Development: A Comparative Case Study of Responsible AI Under Competitive Pressure,Foundations,International Journal of Applied Research in Business and Management,article,84,High,"matches Foundations: ethics, responsible ai; impact signal: framework, policy, governance; recent",https://doi.org/10.51137/wrp.ijarbm.869,10.51137/wrp.ijarbm.869,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-15,"Generative AI in African Higher Education: A Systematic Review of Opportunities, Ethical Challenges, and Institutional Readiness",Education & Research,Journal of University Teaching and Learning Practice,review,84,High,"matches Education & Research: education, academic integrity, learning; impact signal: systematic review, framework, policy; recent",https://doi.org/10.53761/c682ye61,10.53761/c682ye61,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-13,Which LLM Is Your Ideal Companion? Evaluating Emotional Companion Capabilities of LLMs Based on Adult Attachment Theory,Human-AI Relationships,arXiv,Preprint / research,83,High,"matches Human-AI Relationships: companion, emotional support, attachment; impact signal: benchmark, evaluation; recent",http://arxiv.org/abs/2608.13168v1,,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-13,InFactPlanner: Planning Sustainable Geo-Distributed LLM Data Centers,Environment & Labor,arXiv,Preprint / research,83,High,"matches Environment & Labor: energy, water, carbon, sustainability; impact signal: framework; recent",http://arxiv.org/abs/2608.12915v1,,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-13,Legitimacy Criteria for Strategic Communication in the Age of Artificial Intelligence,Persuasion & Manipulation,The Proceedings of the World Conference on Social Sciences and Humanities.,conference-paper,83,High,"matches Persuasion & Manipulation: persuasion, manipulation, influence, behavioral influence; impact signal: framework, regulation, governance; recent",https://doi.org/10.33422/shconf.v3i1.2047,10.33422/shconf.v3i1.2047,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-16,A carbon aware job scheduling framework for data center sustainability using deep learning training,Environment & Labor,Discover Artificial Intelligence,journal-article,82,High,"matches Environment & Labor: energy, carbon, environment, sustainability; strong scholarly metadata source; impact signal: framework; recent",https://doi.org/10.1007/s44163-026-02022-4,10.1007/s44163-026-02022-4,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-13,"How electoral management bodies govern digital electoral systems: capacity, authority, and accountability",Governance & Measurement,Frontiers in Political Science,article,81,High,"matches Governance & Measurement: governance, audit, assurance; impact signal: systematic review, framework, standard; recent",https://doi.org/10.3389/fpos.2026.1877569,10.3389/fpos.2026.1877569,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-14,Leveraging strategic facilities management to achieve corporate ESG and sustainability: a literature review,Environment & Labor,Frontiers in Environmental Economics,article,81,High,"matches Environment & Labor: environment, sustainability; impact signal: framework, governance, evaluation; recent",https://doi.org/10.3389/frevc.2026.1839120,10.3389/frevc.2026.1839120,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-14,"Effect of Artificial Intelligence (AI) Study Tools on the Study Behaviour of Pharmacology and Medical Students in Bauchi State, Nigeria",Education & Research,WORLD JOURNAL OF INNOVATION AND MODERN TECHNOLOGY,article,81,High,"matches Education & Research: education, student, learning; impact signal: survey, guidelines, standard; recent",https://doi.org/10.56201/wjimt.v10.no7.2026.pg351.366,10.56201/wjimt.v10.no7.2026.pg351.366,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-14,Analysis of PAI Students' Readiness for the Integration of Artificial Intelligence in Learning at Ahmad Dahlan University,Education & Research,EDUSOSHUM Journal of Islamic Education and Social Humanities,article,81,High,"matches Education & Research: education, student, learning; recent",https://doi.org/10.52366/edusoshum.v6i3.550,10.52366/edusoshum.v6i3.550,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-15,Beyond the Device: Reforming Higher Education and Teacher Education Curricula from ICT Literacy to AI Pedagogical Readiness in East Africa,Education & Research,East African Journal of Education Studies,article,81,High,"matches Education & Research: education, learning; impact signal: framework, policy, governance; recent",https://doi.org/10.37284/eajes.9.3.5567,10.37284/eajes.9.3.5567,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-14,Acceptance of Generative AI for Supporting Innovative Learning in Vocational Education,Education & Research,World Journal of Education,article,80,High,"matches Education & Research: education, learning; impact signal: survey, policy; recent",https://doi.org/10.5430/wje.v16n3p30,10.5430/wje.v16n3p30,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-06,Benchmarking Knowledge-Extraction Attack and Defense on Retrieval-Augmented Generation (RAG),Privacy,OpenAlex,conference-paper,79,Medium,"matches Privacy: privacy, extraction; impact signal: benchmark, framework, standard; recent",https://doi.org/10.1145/3770855.3817524,10.1145/3770855.3817524,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-11,Governing Agentic AI in FinTech,Governance & Measurement,arXiv,Preprint / research,79,Medium,"matches Governance & Measurement: governance, audit; impact signal: framework, standard, policy; recent",http://arxiv.org/abs/2608.11344v2,,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-12,Toward Meaningful Transparency for AI Chatbots: Disclosing Persuasive Intent Reduces Persuasion,Transparency & Accountability,arXiv,Preprint / research,79,Medium,"matches Transparency & Accountability: transparency, disclosure, provenance; impact signal: regulation, policy, randomized; recent",http://arxiv.org/abs/2608.11794v1,,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-13,Research on the Judicial Fairness Challenges and Legal Regulation of AI-Assisted Judgments in the Context of Digital Justice,Bias & Fairness,Advanced Electromagnetics,article,79,Medium,"matches Bias & Fairness: bias, fairness; impact signal: framework, regulation, standard; recent",https://doi.org/10.7716/aem.v15i3.3403,10.7716/aem.v15i3.3403,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-15,The Correlation Between Exposure to English-Language Content on Instagram and Listening Comprehension among EFL Students at UIN Datokarama Palu,Education & Research,Journal of General Education and Humanities,journal-article,79,Medium,"matches Education & Research: education, student, learning; strong scholarly metadata source; impact signal: standard; recent",https://doi.org/10.58421/gehu.v5i4.1936,10.58421/gehu.v5i4.1936,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-12,Motivation to learn and teach home economics in higher education: Predictors and comparative analysis,Education & Research,Social Sciences & Humanities Open,article,78,Medium,"matches Education & Research: education, student, learning; impact signal: survey; recent",https://doi.org/10.1016/j.ssaho.2026.103414,10.1016/j.ssaho.2026.103414,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-14,"The Impact of Artificial Intelligence on English Language Learning, Communication, and Linguistic Development: Opportunities and Challenges",Education & Research,Journal of Intelligent Decision Making and Information Science,article,78,Medium,"matches Education & Research: education, academic integrity, learning; impact signal: governance; recent",https://doi.org/10.59543/jidmis.v3.1938,10.59543/jidmis.v3.1938,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-14,AI literacy and subject specialization in pre-service teacher education: a mixed-methods study of dimensional profiles and perceived pedagogical challenges,Education & Research,Frontiers in Education,article,77,Medium,"matches Education & Research: education, student, learning; impact signal: survey, framework; recent",https://doi.org/10.3389/feduc.2026.1876627,10.3389/feduc.2026.1876627,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-14,Development and pilot testing of multi-stakeholder questionnaires for assessing University 4.0 transformation in higher education institutions,Education & Research,Frontiers in Education,article,77,Medium,"matches Education & Research: education, student; impact signal: governance, evaluation; recent",https://doi.org/10.3389/feduc.2026.1908552,10.3389/feduc.2026.1908552,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-16,PENGARUH MUSIK AI TERHADAP PENINGKATAN MOTIVASI BELAJAR SISWA PADA MATA PELAJARAN IPS DI KELAS IV SD NEGERI 73 AMBON,Education & Research,SOCIAL : Jurnal Inovasi Pendidikan IPS,journal-article,77,Medium,"matches Education & Research: education, student, learning; strong scholarly metadata source; recent",https://doi.org/10.51878/social.v6i3.14523,10.51878/social.v6i3.14523,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-09-01,"Physical Processing of Aquatic Gel Foods: From Protein Structure Regulation to Health, Sustainability, and Personalized Design",Environment & Labor,Comprehensive Reviews in Food Science and Food Safety,journal-article,77,Medium,"matches Environment & Labor: energy, water, sustainability; strong scholarly metadata source; impact signal: regulation, standard, evaluation; recent",https://doi.org/10.1111/1541-4337.70601,10.1111/1541-4337.70601,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-08,ChatGPT and Large Language Models in Contemporary Nursing,Education & Research,Journal of Clinical Nursing,article,76,Medium,"matches Education & Research: education, academic integrity, learning; impact signal: systematic review, framework, governance; recent",https://doi.org/10.1111/jocn.70490,10.1111/jocn.70490,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-10,Software Engineering for and with GUI Agent,Governance & Measurement,arXiv (Cornell University),preprint,76,Medium,"matches Governance & Measurement: governance, evaluation, audit; impact signal: benchmark, framework, governance; recent",https://doi.org/10.48550/arxiv.2608.09278,10.48550/arxiv.2608.09278,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-13,Banking Performance under the Lens of Earnings Management: A Theoretical and Bibliometric Systematic Review,Transparency & Accountability,Bulletin of Social Studies and Community Development,review,76,Medium,"matches Transparency & Accountability: transparency, disclosure, reporting; impact signal: systematic review, framework, guidelines; recent",https://doi.org/10.61436/bsscd/v5i3.pp253-267,10.61436/bsscd/v5i3.pp253-267,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-13,Pedagogical prompting rather than technical mastery: Generative AI use by English and English-medium instruction teachers,Education & Research,Frontiers in Education,article,75,Medium,"matches Education & Research: education, student, learning; impact signal: framework; recent",https://doi.org/10.3389/feduc.2026.1901680,10.3389/feduc.2026.1901680,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-13,Applied and Filtered: An End-to-End Algorithmic Fairness Audit of A Public Employment Agency,Governance & Measurement,arXiv,Preprint / research,75,Medium,"matches Governance & Measurement: evaluation, audit; impact signal: evaluation, audit; recent",http://arxiv.org/abs/2608.13022v1,,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-14,Pre-service teachers' general pedagogical knowledge and pedagogical learning opportunities at entry into induction: comparing traditional and alternative teacher education programs,Education & Research,Frontiers in Education,article,75,Medium,"matches Education & Research: education, learning; impact signal: standard, longitudinal; recent",https://doi.org/10.3389/feduc.2026.1790135,10.3389/feduc.2026.1790135,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-14,"Policy Integration and Implementation Gaps in China’s Dual-Carbon Strategy: A Multi-Dimensional Analysis of Carbon Trading System, New Energy Vehicle Incentives, and Air Quality Policies",Environment & Labor,Journal of Intelligent Decision Making and Information Science,article,75,Medium,"matches Environment & Labor: energy, carbon; impact signal: policy, governance; recent",https://doi.org/10.59543/jidmis.v3.1782,10.59543/jidmis.v3.1782,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-15,Dysfunction of Zakat Village Governance in Papua: Fragmentation of Collaboration and Inequality of Amil Capacity,Governance & Measurement,JURNAL ILMIAH GEMA PERENCANA,journal-article,75,Medium,"matches Governance & Measurement: governance, evaluation; strong scholarly metadata source; impact signal: framework, regulation, policy; recent",https://doi.org/10.61860/jigp.v5i1.411,10.61860/jigp.v5i1.411,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-14,"Human-centric AI governance in the European Union. Accountability, fundamental rights, and institutional resilience in public administration",Governance & Measurement,Frontiers in Political Science,article,74,Medium,"matches Governance & Measurement: governance, audit; impact signal: framework, policy, governance; recent",https://doi.org/10.3389/fpos.2026.1928481,10.3389/fpos.2026.1928481,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-14,"Delivering building demand flexibility for grid-interactive operation: from perception and cognition to decision, execution, and verification",Environment & Labor,Applied Energy,article,74,Medium,"matches Environment & Labor: energy, carbon; impact signal: framework, evaluation; recent",https://doi.org/10.1016/j.apenergy.2026.128668,10.1016/j.apenergy.2026.128668,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-16,PENGARUH MODEL PEMBELAJARAN PROJECT BASED LEARNING DAN KEDISIPLINAN BELAJAR TERHADAP KESIAPAN KERJA SISWA PADA JURUSAN AKUNTANSI KEUANGAN LEMABAGA DI SMK NEGERI 1 PANGKEP,Education & Research,SOCIAL : Jurnal Inovasi Pendidikan IPS,journal-article,74,Medium,"matches Education & Research: student, learning; strong scholarly metadata source; impact signal: survey; recent",https://doi.org/10.51878/social.v6i3.14617,10.51878/social.v6i3.14617,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-15,"Large Language Model-facilitated national review on the use of ecological tools and processes in Environmental Impact Statements (EIS) in the U.S. with demonstrated use cases for environmental planners, legal practitioners, and researchers",Environment & Labor,Springer Science and Business Media LLC,posted-content,73,Medium,"matches Environment & Labor: energy, environment, labor; strong scholarly metadata source; impact signal: benchmark, policy; recent",https://doi.org/10.21203/rs.3.rs-10627892/v1,10.21203/rs.3.rs-10627892/v1,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-16,Optimization of Household Equipment and Instrumentation in an Effort to Save Electrical Energy in a Restaurant,Environment & Labor,International Journal Of Community Service,journal-article,73,Medium,"matches Environment & Labor: energy, carbon, environment; strong scholarly metadata source; impact signal: survey, evaluation; recent",https://doi.org/10.51601/ijcs.v6i3.1022,10.51601/ijcs.v6i3.1022,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-16,Effect of Public Safety Center Video-Based Education on Emergency Response Attitudes Among High School Students,Education & Research,Jurnal Kegawatdaruratan Medis Indonesia,journal-article,73,Medium,"matches Education & Research: education, student; strong scholarly metadata source; recent",https://doi.org/10.58545/jkmi.v5i2.827,10.58545/jkmi.v5i2.827,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-07,From Single Chatbots to Governed Agent Ecosystems: An Agentic AI Pattern Catalogue and Orchestration Framework for Mission-Critical Hospital Information Management Systems,Agentic AI,arXiv,Preprint / research,72,Medium,"matches Agentic AI: agentic ai, autonomous agent, multi-agent; impact signal: framework, policy, governance; recent",http://arxiv.org/abs/2608.07627v1,10.38124/ijisrt/26jul830,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-10,Bias Smells in AI Software Development: Recognizing Potential Sources of Fairness Debt,Bias & Fairness,arXiv (Cornell University),preprint,72,Medium,"matches Bias & Fairness: bias, fairness; recent",https://doi.org/10.48550/arxiv.2608.10248,10.48550/arxiv.2608.10248,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-12,Quantifying the Relationship Between Clinical Safety and Environmental Impact in Therapeutic LLMs,Environment & Labor,arXiv,Preprint / research,72,Medium,"matches Environment & Labor: energy, water, carbon, environment; recent",http://arxiv.org/abs/2608.11830v1,,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-12,Benchmark-Based Comparative Assessment of Publicly Benchmarked Indian Foundation Models: A Capability and Evaluation-Maturity Framework,India & Global South,arXiv,Preprint / research,72,Medium,"matches India & Global South: multilingual, india; impact signal: survey, benchmark, framework; recent",http://arxiv.org/abs/2608.11891v1,,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-13,"Academic League of Artificial Intelligence - An Integrative Perspective of Teaching, Research, and Extension",Education & Research,arXiv,Preprint / research,72,Medium,"matches Education & Research: education, student, learning; impact signal: framework, governance; recent",http://arxiv.org/abs/2608.13447v1,,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-14,Educational Aspirations in Contemporary Indian Education: A Critical Conceptual Synthesis for Holistic Learner Development,Education & Research,Asian Journal of Education and Social Studies,article,72,Medium,"matches Education & Research: education, learning; impact signal: policy, longitudinal; recent",https://doi.org/10.9734/ajess/2026/v52i83261,10.9734/ajess/2026/v52i83261,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-13,Solar Exposure and Photoprotection Behaviors as Determinants of Acne Vulgaris Severity Among University Students in Andalusia-Spain,Education & Research,Ibn Sina Journal of Medical Science Health & Pharmacy,article,71,Medium,"matches Education & Research: education, student; impact signal: survey, framework, evaluation; recent",https://doi.org/10.64440/ibnsina/sina0027,10.64440/ibnsina/sina0027,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-13,FSGR: Mitigating Token Frequency Bias for Fair SID-Based Generative Recommendation,Bias & Fairness,arXiv,Preprint / research,71,Medium,"matches Bias & Fairness: bias, fairness; impact signal: framework; recent",http://arxiv.org/abs/2608.12845v1,,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-14,HEPE — Complete 16-State AI Governance Space with Lyapunov Values (Hardware-Enforced Policy Engine),Governance & Measurement,arXiv (Cornell University),preprint,71,Medium,"matches Governance & Measurement: governance, audit; impact signal: policy, governance, audit; recent",https://doi.org/10.5281/zenodo.21935563,10.5281/zenodo.21935563,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-14,What Remains Ours to Think? Reclaiming Critical Thinking in AI‐Augmented Student Leadership Education,Education & Research,New Directions for Student Leadership,article,71,Medium,"matches Education & Research: education, student, learning; impact signal: framework; recent",https://doi.org/10.1002/yd.70068,10.1002/yd.70068,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-14,"Supervision in educational leadership: practices, challenges, and innovations in the UAE — a multi-level coupling analysis of the current and future",Education & Research,Frontiers in Education,article,71,Medium,"matches Education & Research: education, learning; impact signal: benchmark, policy, governance; recent",https://doi.org/10.3389/feduc.2026.1862260,10.3389/feduc.2026.1862260,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-14,Research ethics and publication policies in journals using the Korea Institute of Science and Technology Information (KISTI) academic publishing platform: a content analysis of 181 journals,Transparency & Accountability,Science Editing,article,71,Medium,"matches Transparency & Accountability: accountability, disclosure; impact signal: guidelines, standard, policy; recent",https://doi.org/10.6087/kcse.403,10.6087/kcse.403,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-14,Striking a Balance between the Right to Privacy and Freedom of Expression: A Case Study of Women’s Digital Rights in Tanzania,Regulation,East African Journal of Law and Ethics,article,71,Medium,"matches Regulation: regulation, legal framework, standard; impact signal: framework, regulation, standard; recent",https://doi.org/10.37284/eajle.9.3.5557,10.37284/eajle.9.3.5557,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-16,Evaluation of the CIPP Model in a Project-Based Basic Electronics Course: A Discriminant Validity and Common Method Bias Analysis,Education & Research,Educative: Jurnal Ilmiah Pendidikan,journal-article,71,Medium,"matches Education & Research: education, student, learning; strong scholarly metadata source; impact signal: evaluation; recent",https://doi.org/10.70437/educative.v4i2.2180,10.70437/educative.v4i2.2180,Pending,Automatically discovered; verify bibliographic details before formal citation.
2026-08-16,2026-08-16,The effectiveness of the contextual teaching and learning model on mathematical literacy skills in terms of learning motivation,Education & Research,Union: Jurnal Ilmiah Pendidikan Matematika,journal-article,70,Medium,"matches Education & Research: student, learning; strong scholarly metadata source; recent",https://doi.org/10.30738/union.v14i2.22911,10.30738/union.v14i2.22911,Pending,Automatically discovered; verify bibliographic details before formal citation.
